Patient_Problem,Disease,Prescription
"Constant fatigue and muscle weakness, struggling to stay awake, brain fog, persistent headaches, and unrefreshing sleep.",Chronic Fatigue Syndrome,"Cognitive behavioral therapy, graded exercise therapy."
"Frequent severe migraines with throbbing pain, sensitivity to light and sound, visual aura, nausea, and dizziness.",Migraine with Aura,"Prescription triptans, avoid triggers like bright lights."
"Sudden weight gain and feeling cold, especially in the hands and feet, constipation, dry skin, hair loss, and fatigue.",Hypothyroidism,Levothyroxine to regulate thyroid hormone levels.
"High fever, sore throat with white patches, swollen lymph nodes, feeling very weak, headache, and body aches.",Mononucleosis,"Rest and hydration, ibuprofen for pain."
"Excessive thirst and frequent urination, dry mouth persistently, blurred vision, unexplained weight loss, and increased hunger.",Diabetes Mellitus,Insulin therapy and lifestyle changes.
"Sharp, stabbing chest pain that worsens when lying down or inhaling deeply, shortness of breath, palpitations, and mild fever.",Pericarditis,"Anti-inflammatory medication, rest."
"Unexplained weight loss and night sweats, feeling feverish, persistent cough, fatigue, and enlarged lymph nodes.",Tuberculosis,"Antibiotics, rest, and a high-calorie diet."
"Severe abdominal pain radiating to the back, nausea without vomiting, fever, rapid pulse, and tenderness to the touch.",Pancreatitis,"IV fluids, pain relief, and sometimes surgery."
"Joint swelling and stiffness in the morning, especially in the fingers and wrists, fatigue, low-grade fever, and dry eyes.",Rheumatoid Arthritis,"DMARDs and NSAIDs, physical therapy."
"Recurrent, painful blisters around the mouth and nose, tingling or burning sensation before outbreak, fever, and swollen glands.",Herpes Simplex,"Antiviral medication, pain relief creams."
"Progressive difficulty swallowing, accompanied by heartburn, chest pain, regurgitation of food, and sore throat.",Esophageal Reflux,"Antacids, avoid spicy and fatty foods."
"Chronic diarrhea, abdominal cramps, and gas, bloating, urgency, mucus in stool, and fatigue.",Irritable Bowel Syndrome,"Fiber supplements, antispasmodic drugs."
"Intense itching, especially at night, with visible burrows on the skin, small red bumps, rash, and secondary skin infections from scratching.",Scabies,"Permethrin cream, wash all clothing and bedding."
"Yellowing of the skin and eyes, dark urine, and general fatigue, abdominal pain, nausea, and loss of appetite.",Hepatitis,"Antiviral drugs, liver function monitoring."
"Sudden, severe headache with no known cause, blurred vision, stiff neck, loss of consciousness, and vomiting.",Subarachnoid Hemorrhage,"Immediate medical evaluation, possibly surgery."
"Persistent cough with blood-tinged sputum, night sweats, unexplained weight loss, shortness of breath, and chest pain.",Lung Cancer,"Chemotherapy, targeted drug therapy."
"Frequent nosebleeds, easy bruising, and prolonged bleeding from cuts, joint pain, fatigue, and anemia.",Hemophilia,Replacement therapy with clotting factors.
"Severe itching and rash after consuming certain foods, hives, swelling of the lips or tongue, difficulty breathing, and vomiting.",Food Allergy,"Avoidance of allergens, antihistamines."
"Repeated urinary tract infections, burning sensation while urinating, frequent urge to urinate, lower abdominal pain, and cloudy urine.",Urinary Tract Infection,"Antibiotics, plenty of fluids."
"Difficulty concentrating, memory lapses, and confusion, disorientation, personality changes, and impaired judgment.",Early Onset Dementia,"Cognitive stimulation therapy, supportive care."
"I've been feeling extremely fatigued and find it hard to concentrate, experiencing muscle aches, headaches, and unrefreshing sleep.",Chronic Fatigue Syndrome,"Regular exercise, stress management techniques."
"Experiencing frequent headaches, sensitivity to light and sound, nausea, visual disturbances, and dizziness.",Migraine,"Avoid triggers, consider prophylactic medications."
"Noticed a persistent cough and occasional wheezing, especially at night, shortness of breath, chest tightness, and mucus production.",Asthma,"Inhaled corticosteroids, avoid allergens."
"Sudden episodes of rapid heartbeat, feeling faint, chest pain, shortness of breath, and trembling.",Panic Attacks,"Deep breathing exercises, SSRIs if recurrent."
"Unintended weight loss and constant thirst, frequent urination, increased hunger, blurred vision, and fatigue.",Type 1 Diabetes,"Insulin therapy, dietary adjustments."
"Joint pain in hands and feet, stiffness in the morning, swelling, redness, limited range of motion, and fatigue.",Rheumatoid Arthritis,"DMARDs, physical therapy."
"Recurrent stomach pain, bloating, and altered bowel habits, diarrhea, constipation, gas, and mucus in stool.",Irritable Bowel Syndrome (IBS),"Diet modification, antispasmodic drugs."
"Severe acne on face and back, not responding to over-the-counter treatments, cysts, nodules, inflammation, and scarring.",Cystic Acne,"Topical retinoids, oral antibiotics for severe cases."
"Difficulty falling asleep, waking up frequently during the night, trouble staying asleep, daytime fatigue, and irritability.",Insomnia,"Good sleep hygiene, cognitive-behavioral therapy."
"Constantly feeling sad, loss of interest in activities, hopelessness, changes in appetite or weight, and sleep disturbances.",Major Depressive Disorder,"Antidepressants, psychotherapy."
"Blurry vision, especially when looking at objects close or far away, eye strain, headaches, and squinting.",Myopia and Hyperopia,"Corrective lenses or contact lenses, regular eye exams."
"Frequent urination, especially at night, and feeling thirsty, dry mouth, blurred vision, and fatigue.",Diabetes Type 2,"Lifestyle changes, metformin for blood sugar control."
"Swelling and pain in the big toe, redness around the joint, warmth, tenderness, and limited range of motion.",Gout,"Avoid foods high in purines, allopurinol."
"Shortness of breath during physical activities, chest tightness, wheezing, chronic cough, and fatigue.",Chronic Obstructive Pulmonary Disease (COPD),"Long-acting bronchodilators, quit smoking."
"Recurrent episodes of vertigo, feeling like the room is spinning, nausea, vomiting, and difficulty with balance.",Benign Positional Vertigo,"Avoid sudden head movements, vestibular rehab exercises."
"Excessive sweating, even when not engaging in physical activities, sweating through clothing, social anxiety, and skin irritation.",Hyperhidrosis,"Antiperspirants, botox injections in severe cases."
"Yellowing of the skin and eyes, fatigue, and abdominal pain, dark urine, pale stools, and itching.",Hepatitis,"Antiviral medication, avoid alcohol."
"Persistent sore throat, difficulty swallowing, and swollen lymph nodes, fever, headache, and body aches.",Pharyngitis,"Antibiotics if bacterial, pain relievers."
"Numbness and tingling in the hands and feet, weakness, burning pain, sharp pain, and sensitivity to touch.",Peripheral Neuropathy,"Blood sugar control, gabapentin for pain relief."
"Sharp, stabbing pain in the chest, worsening with deep breaths, shortness of breath, rapid heartbeat, and coughing up blood.",Pulmonary Embolism,"Anticoagulants, avoid prolonged periods of immobility."
"I've been experiencing severe headaches and occasional dizziness, along with nausea and sensitivity to light and sound.",Migraine and Vertigo,Sumatriptan; avoid stress triggers.
"My stomach has been upset, and I've had bouts of diarrhea and nausea, accompanied by abdominal cramps and vomiting.",Gastrointestinal Infection,Hydration; Probiotics; Loperamide if necessary.
"I've noticed a rash on my arm that's itchy and spreading, with redness, small bumps, and blistering.",Contact Dermatitis,Hydrocortisone cream; avoid irritants.
"I have persistent coughing and shortness of breath, along with wheezing, mucus production, and chest tightness.",Chronic Bronchitis,Inhaled corticosteroids; quit smoking.
"I'm experiencing sharp knee pain when walking or climbing stairs, accompanied by swelling, stiffness, and limited range of motion.",Patellar Tendinitis,Physical therapy; ice application.
"My vision has become blurry, especially when reading, and I'm experiencing headaches and eye strain.",Myopia,Prescription glasses; regular eye check-ups.
"I have been feeling very tired lately, even with a full night's sleep, along with muscle aches, headaches, and difficulty concentrating.",Chronic Fatigue Syndrome,Balanced diet; regular exercise; CBT for mental health.
"I experience severe back pain after sitting for long periods, radiating down my leg, with numbness and tingling in my foot.",Sciatica,Pain relievers; physical therapy.
"I have frequent urination and excessive thirst, accompanied by fatigue, blurred vision, and unexplained weight loss.",Diabetes Mellitus,Metformin; lifestyle changes.
"I've been having trouble sleeping, feeling anxious and restless, with racing thoughts and difficulty relaxing.",Insomnia and Anxiety,Sleep hygiene practices; consider melatonin or counseling.
"My throat has been sore, and I've had a fever for a few days, along with difficulty swallowing, headache, and body aches.",Streptococcal Pharyngitis,Amoxicillin; rest; increase fluid intake.
"I've been feeling depressed and unmotivated to do daily tasks, with loss of interest in activities, changes in appetite, and sleep disturbances.",Major Depressive Disorder,SSRIs; psychotherapy.
"I noticed swelling and pain in my joints, especially in the morning, with stiffness, redness, and limited range of motion.",Rheumatoid Arthritis,NSAIDs; physical therapy.
"I've been experiencing sudden weight loss and increased appetite, along with rapid heartbeat, anxiety, and sweating.",Hyperthyroidism,Levothyroxine; regular TSH level monitoring.
"I have a constant ringing in my ears that's affecting my hearing, along with dizziness, headache, and difficulty concentrating.",Tinnitus,Noise suppression devices; avoid loud noises.
"I've been getting nosebleeds more frequently than usual, with easy bruising and prolonged bleeding from cuts.",Epistaxis,Humidify your home; avoid picking your nose.
"I feel a sharp pain in my chest when I breathe deeply, accompanied by shortness of breath and fever.",Pleurisy,NSAIDs; rest; consult if persistent.
"I've noticed my skin getting yellowish, especially around the eyes, along with fatigue, abdominal pain, and dark urine.",Jaundice,Liver function tests; consult for possible causes.
"I have difficulty swallowing, and my throat feels tight, accompanied by heartburn, chest pain, and regurgitation of food.",Esophageal Stricture,PPIs; eat smaller meals; avoid lying down after eating.
"I've been feeling numbness and tingling in my hands and feet, along with weakness, burning pain, and sensitivity to touch.",Peripheral Neuropathy,Vitamin B12 supplements; consult for further evaluation.
"I have been feeling unusually tired and lethargic for the last month, experiencing difficulty concentrating and muscle weakness.",Chronic Fatigue Syndrome,Advised rest and stress reduction techniques.
"Experiencing severe joint pain in my hands and feet, along with stiffness, swelling, and difficulty moving.",Rheumatoid Arthritis,Prescribed methotrexate and daily physical therapy.
"Constant shortness of breath and tightness in my chest, accompanied by wheezing, coughing, and difficulty breathing.",Asthma,Inhaled corticosteroids and avoidance of triggers.
"Uncontrollable shaking and tremors in my hands, accompanied by stiffness, slow movement, and difficulty with balance.",Parkinson's Disease,Levodopa and regular neurology consultations.
"Frequent migraines that last for hours, with throbbing pain, sensitivity to light and sound, nausea, and vomiting.",Migraine,Propranolol and avoiding known triggers.
"Sudden weight gain and puffiness in the face, accompanied by fatigue, constipation, and dry skin.",Hypothyroidism,Levothyroxine sodium to regulate thyroid hormone levels.
"Persistent sore throat and difficulty swallowing, accompanied by fever, headache, and body aches.",Strep Throat,Antibiotics and warm salt gargle.
"Blurry vision that worsens by the end of the day, accompanied by headaches, eye strain, and difficulty focusing.",Myopia,Prescribed corrective lenses and eye rest.
"High fever with chills and night sweats, accompanied by headache, muscle aches, and fatigue.",Influenza,"Oseltamivir phosphate if caught early, otherwise rest and fluids."
"Sharp stomach pain that comes and goes, accompanied by nausea, vomiting, bloating, and loss of appetite.",Gastritis,Proton pump inhibitors and diet modification.
"Excessive sweating even in cool temperatures, accompanied by anxiety, social embarrassment, and skin irritation.",Hyperhidrosis,Antiperspirants with aluminum chloride; botox injections in severe cases.
"Swollen, red patches of skin that are painful to touch, accompanied by fever, chills, and fatigue.",Cellulitis,Antibiotics and keeping the area clean and covered.
"Dry, itchy eyes that feel gritty, accompanied by burning sensation, redness, and blurred vision.",Dry Eye Syndrome,Artificial tears and blinking exercises.
"Numbness and tingling in my feet, accompanied by burning pain, weakness, and sensitivity to touch.",Peripheral Neuropathy,Vitamin B12 supplements and wearing supportive shoes.
"Severe back pain that limits my movement, radiating down my leg, with numbness, tingling, and muscle weakness.",Herniated Disc,Pain relievers and physical therapy; surgery in severe cases.
"Frequent urination and a burning sensation, accompanied by lower abdominal pain, urgency, and cloudy urine.",Urinary Tract Infection,Antibiotics and increased fluid intake.
"A cough that has lasted more than three weeks, accompanied by shortness of breath, wheezing, and mucus production.",Chronic Bronchitis,Long-term bronchodilators and quitting smoking.
"Memory lapses and difficulty concentrating, accompanied by confusion, disorientation, and personality changes.",Alzheimer's Disease,Cognitive enhancers and supportive care.
"Feeling down, depressed, or hopeless, accompanied by loss of interest in activities, changes in appetite, and sleep disturbances.",Major Depressive Disorder,SSRIs and cognitive-behavioral therapy.
"Sudden episodes of rapid heartbeat, accompanied by feeling faint, chest pain, shortness of breath, and anxiety.",Panic Disorder,Beta-blockers and stress management techniques.
"Constant fatigue and difficulty concentrating for weeks, accompanied by muscle aches, headaches, and unrefreshing sleep.",Chronic Fatigue Syndrome,"Gradual increase in physical activity, cognitive behavioral therapy."
"Recurring severe headaches and sensitivity to light, accompanied by nausea, vomiting, and visual disturbances.",Migraines,"Avoid triggers, prescribed triptans."
"Sudden shortness of breath with mild exertion, accompanied by wheezing, chest tightness, and coughing.",Asthma,"Inhaled corticosteroids, avoid allergens."
"Frequent episodes of heartburn and acid reflux, accompanied by chest pain, regurgitation of food, and difficulty swallowing.",Gastroesophageal Reflux Disease,Antacids and lifestyle changes.
"Itchy, watery eyes and sneezing, especially outdoors, accompanied by runny nose, congestion, and headache.",Allergic Rhinitis,Antihistamines and nasal corticosteroids.
"Sharp pain in lower back when bending or lifting, radiating down the leg, with numbness and tingling.",Sciatica,"Physical therapy, NSAIDs."
"Swollen, tender joints in hands and wrists, accompanied by stiffness, redness, and limited range of motion.",Rheumatoid Arthritis,DMARDs and NSAIDs.
"Persistent cough with greenish phlegm, accompanied by shortness of breath, chest pain, and fatigue.",Bronchitis,"Antibiotics if bacterial, and cough suppressants."
"Intense mood swings and periods of high energy followed by fatigue, accompanied by impulsivity, irritability, and sleep disturbances.",Bipolar Disorder,Mood stabilizers and psychotherapy.
"Blurred vision and difficulty seeing at night, accompanied by trouble adjusting to darkness, and glare around lights.",Night Blindness,Vitamin A supplements and avoid driving at night.
"Unexplained weight loss and increased thirst, accompanied by frequent urination, increased hunger, and blurred vision.",Type 1 Diabetes,Insulin therapy and diet adjustments.
"Painful urination and cloudy urine, accompanied by frequent urge to urinate, lower abdominal pain, and burning sensation.",Urinary Tract Infection,Antibiotics and plenty of fluids.
"Dry, red patches of skin that crack and bleed, accompanied by itching, inflammation, and thickened skin.",Psoriasis,Topical corticosteroids and moisturizers.
"Numbness in hands and feet, worsening at night, accompanied by tingling, burning pain, and weakness.",Peripheral Neuropathy,Vitamin B12 supplements and pain relievers.
"Dizziness and loss of balance, especially when standing up, accompanied by lightheadedness, blurred vision, and nausea.",Vertigo,Epley maneuver and meclizine for relief.
"Feeling of fullness and discomfort in the upper abdomen, accompanied by nausea, bloating, and loss of appetite.",Gastritis,"Proton pump inhibitors, avoid spicy foods."
"Brittle nails and hair loss, accompanied by dry skin, fatigue, and weight gain.",Hypothyroidism,Levothyroxine sodium tablets.
"Tremors in hands and difficulty with fine motor skills, accompanied by stiffness, slow movement, and balance problems.",Parkinson's Disease,Levodopa and physical therapy.
"Insomnia and persistent difficulty falling or staying asleep, accompanied by daytime fatigue, irritability, and difficulty concentrating.",Insomnia,"Sleep hygiene education, possibly sleeping pills."
"Episodes of severe anxiety and panic attacks, accompanied by rapid heartbeat, shortness of breath, chest pain, and fear of losing control.",Panic Disorder,"Cognitive-behavioral therapy, SSRIs."
"I've been experiencing severe headaches and occasional dizziness lately, accompanied by nausea, sensitivity to light and sound.",Migraine,"Prescribe sumatriptan; advise rest in a dark, quiet room."
"My stomach has been upset, with bouts of diarrhea and nausea, accompanied by abdominal cramps, bloating, and gas.",Irritable Bowel Syndrome,Recommend dietary changes; prescribe antispasmodics as needed.
"Noticed a spreading rash on my arm that's quite itchy, with redness, small bumps, and blistering.",Contact Dermatitis,Advise to avoid allergen; prescribe topical steroids for rash.
"Persistent coughing and difficulty breathing at night, accompanied by wheezing, chest tightness, and mucus production.",Bronchial Asthma,Inhaled corticosteroids; avoid allergens; short-acting beta-agonists as needed.
"Sharp knee pain when walking or climbing stairs, accompanied by swelling, stiffness, and limited range of motion.",Knee Osteoarthritis,Physical therapy; oral NSAIDs; consider hyaluronic acid injections.
"Vision is blurry, especially when reading or looking at screens, accompanied by headaches, eye strain, and squinting.",Myopia,Prescription eyeglasses or contacts; regular vision check-ups.
"Feeling unusually tired, even after sleeping well, accompanied by muscle aches, headaches, and difficulty concentrating.",Chronic Fatigue Syndrome,Encourage healthy lifestyle; cognitive behavioral therapy if needed.
"Severe back pain after sitting for long periods, radiating down the leg, with numbness, tingling, and muscle weakness.",Sciatica,Physical therapy; NSAIDs for pain relief; lifestyle modifications.
